"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Views,"Post engagements","Link clicks",Starts
2026-02-03,2026-04-09,"Independence Day Campaign | 2026",completed,1261826,video_continuous_2_sec_watched_actions,0.10104404,"Using ad set budget",0,127500,2893608,1685889,2026-02-10,2894410,904380,36,2026-02-03
2026-02-03,2026-04-09,"Technnovation Awards 2026",completed,3176173,reach,80.26177101,"Using ad set budget",0,254925.27,6414192,3176173,2026-02-10,6344300,48102,7645,2026-02-06
2026-02-03,2026-04-09,Remittance,active,3118740,reach,181.74544528,"Using ad set budget",0,566816.79,13111032,3118740,2026-04-30,12208518,490689,83,2026-02-06
2026-02-03,2026-04-09,"Birth Freedom Campaign",completed,3000370,reach,84.98951796,"Using ad set budget",0,255000,5753976,3000370,2026-02-14,5809385,11190,88,2026-02-06
2026-02-03,2026-04-09,"Podcast Videos",completed,1150747,reach,110.79756019,"Using ad set budget",0,127499.96,2936359,1150747,2026-02-21,2309823,190944,1222,2026-02-07
2026-02-03,2026-04-09,"Credit Card Campaigns",active,,,,"Using ad set budget",0,532767.62,12634336,2338386,2026-04-30,12677730,112118,15813,2026-02-07
2026-02-03,2026-04-09,"Yes Teen Campaign",active,,,,"Using ad set budget",0,308721.3,5598571,1147666,2026-04-30,5675653,1426324,28,2026-02-17
2026-02-03,2026-04-09,"Women's Day Vanitha Vasana Campaign with Neon Media",completed,1583643,reach,161.08428478,"Using ad set budget",0,255100,5407613,1583643,2026-03-30,5435963,11640,8016,2026-03-13
2026-02-03,2026-04-09,"Vanitha Vasana Credit Card Campaign",completed,1260032,reach,121.50485067,"Using ad set budget",0,153100,3590092,1260032,2026-03-31,3601555,8843,1187,2026-03-13
2026-02-03,2026-04-09,"Avurudu Ganudedu Credit Card Campaign",active,1011476,reach,80.19305451,"Using ad set budget",0,81113.35,2449376,1011476,2026-04-30,2454559,4480,35,2026-03-16
2026-02-03,2026-04-09,"Havelock City Credit Card Campaign",completed,2917541,reach,87.43664613,"Using ad set budget",0,255100,5355352,2917541,2026-03-29,5380042,7995,213,2026-03-26
2026-02-03,2026-04-09,"Galle City Center Credit Card Campaign",recently_completed,1614861,reach,234.82436569,"Using ad set budget",0,379208.71,4960264,1614861,2026-04-05,4992740,8271,115,2026-03-26
2026-02-03,2026-04-09,"Personal Loan Campaign",active,891906,reach,58.94409276,"Using ad set budget",0,52572.59,1331790,891906,2026-04-30,1334249,2206,1638,2026-04-03
